_id,LocationType,Time,Season,OffendingAnimalLeashStatus,IncidentType,VictimType,FinancialYear,Count
102,Beach,9 am to Noon,Summer,No Leash,Attack,Human,2019/20,2
103,Beach,9 am to Noon,Summer,No Leash,Attack,Unknown,2021/22,1
104,Beach,9 am to Noon,Summer,No Leash,Attack,Unknown,2022/23,1
105,Beach,9 am to Noon,Summer,No Leash,Harassment,Animal,2020/21,1
106,Beach,9 am to Noon,Summer,No Leash,Harassment,Human,2020/21,1
107,Beach,9 am to Noon,Summer,On a Leash,Attack,Animal,2019/20,1
108,Beach,9 am to Noon,Summer,On a Leash,Attack,Human,2018/19,1
109,Beach,9 am to Noon,Summer,Unknown,Attack,Animal,2018/19,1
110,Beach,9 am to Noon,Summer,Unknown,Attack,Unknown,2020/21,1
111,Beach,9 am to Noon,Summer,Unknown,Attack,Unknown,2021/22,1
112,Beach,9 am to Noon,Summer,Unknown,Harassment,Unknown,2021/22,1
113,Beach,9 am to Noon,Winter,No Leash,Attack,Unknown,2023/24,1
114,Beach,9 am to Noon,Winter,No Leash,Harassment,Animal,2018/19,1
115,Beach,9 am to Noon,Winter,No Leash,Harassment,Animal,2019/20,1
116,Beach,9 am to Noon,Winter,No Leash,Harassment,Animal,2021/22,1
117,Beach,9 am to Noon,Winter,No Leash,Harassment,Both,2018/19,1
118,Beach,9 am to Noon,Winter,No Leash,Harassment,Human,2018/19,1
119,Beach,9 am to Noon,Winter,No Leash,Harassment,Human,2019/20,1
120,Beach,9 am to Noon,Winter,Unknown,Attack,Animal,2020/21,1
121,Beach,9 am to Noon,Winter,Unknown,Harassment,Animal,2022/23,1
122,Beach,9 am to Noon,Winter,Unknown,Harassment,Human,2020/21,1
123,Beach,9 am to Noon,Winter,Unknown,Harassment,Unknown,2023/24,1
124,Beach,Noon to 5 pm,Autumn,No Leash,Attack,Animal,2020/21,1
125,Beach,Noon to 5 pm,Autumn,No Leash,Attack,Human,2020/21,1
126,Beach,Noon to 5 pm,Autumn,No Leash,Attack,Human,2021/22,1
127,Beach,Noon to 5 pm,Autumn,No Leash,Harassment,Human,2023/24,1
128,Beach,Noon to 5 pm,Autumn,On a Leash,Attack,Animal,2018/19,1
129,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Animal,2019/20,1
130,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Animal,2020/21,1
131,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Human,2018/19,1
132,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Human,2019/20,1
133,Beach,Noon to 5 pm,Autumn,Unknown,Attack,Unknown,2021/22,1
134,Beach,Noon to 5 pm,Autumn,Unknown,Harassment,Human,2020/21,2
135,Beach,Noon to 5 pm,Autumn,Unknown,Harassment,Unknown,2021/22,1
136,Beach,Noon to 5 pm,Spring,No Leash,Attack,Human,2020/21,1
137,Beach,Noon to 5 pm,Spring,No Leash,Attack,Unknown,2023/24,1
138,Beach,Noon to 5 pm,Spring,No Leash,Harassment,Animal,2020/21,1
139,Beach,Noon to 5 pm,Spring,No Leash,Harassment,Animal,2022/23,1
140,Beach,Noon to 5 pm,Spring,No Leash,Harassment,Unknown,2021/22,1
141,Beach,Noon to 5 pm,Spring,On a Leash,Attack,Animal,2022/23,1
142,Beach,Noon to 5 pm,Spring,On a Leash,Attack,Human,2021/22,1
143,Beach,Noon to 5 pm,Spring,Unknown,Attack,Animal,2018/19,1
144,Beach,Noon to 5 pm,Spring,Unknown,Attack,Animal,2019/20,1
145,Beach,Noon to 5 pm,Spring,Unknown,Attack,Unknown,2021/22,1
146,Beach,Noon to 5 pm,Spring,Unknown,Harassment,Human,2021/22,1
147,Beach,Noon to 5 pm,Summer,No Leash,Attack,Human,2018/19,1
148,Beach,Noon to 5 pm,Summer,No Leash,Attack,Unknown,2020/21,1
149,Beach,Noon to 5 pm,Summer,No Leash,Attack,Unknown,2023/24,1
150,Beach,Noon to 5 pm,Summer,On a Leash,Attack,Animal,2018/19,1
151,Beach,Noon to 5 pm,Summer,On a Leash,Attack,Animal,2019/20,2
152,Beach,Noon to 5 pm,Summer,On a Leash,Attack,Animal,2022/23,1
153,Beach,Noon to 5 pm,Summer,On a Leash,Attack,Both,2019/20,1
154,Beach,Noon to 5 pm,Summer,On a Leash,Harassment,Unknown,2023/24,1
155,Beach,Noon to 5 pm,Summer,Unknown,Attack,Animal,2019/20,2
156,Beach,Noon to 5 pm,Summer,Unknown,Attack,Animal,2020/21,1
157,Beach,Noon to 5 pm,Summer,Unknown,Attack,Human,2020/21,1
158,Beach,Noon to 5 pm,Summer,Unknown,Attack,Human,2021/22,1
159,Beach,Noon to 5 pm,Summer,Unknown,Attack,Human,2022/23,1
160,Beach,Noon to 5 pm,Summer,Unknown,Attack,Human,2023/24,1
161,Beach,Noon to 5 pm,Summer,Unknown,Harassment,Animal,2018/19,1
162,Beach,Noon to 5 pm,Summer,Unknown,Harassment,Animal,2019/20,1
163,Beach,Noon to 5 pm,Summer,Unknown,Harassment,Both,2018/19,1
164,Beach,Noon to 5 pm,Summer,Unknown,Harassment,Unknown,2021/22,1
165,Beach,Noon to 5 pm,Winter,No Leash,Harassment,Human,2020/21,1
166,Beach,Noon to 5 pm,Winter,On a Leash,Attack,Human,2018/19,1
167,Beach,Noon to 5 pm,Winter,Unknown,Attack,Animal,2018/19,1
168,Beach,Noon to 5 pm,Winter,Unknown,Attack,Animal,2023/24,1
169,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,2019/20,1
170,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,2020/21,2
171,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,2021/22,2
172,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,2022/23,1
173,Beach,Noon to 5 pm,Winter,Unknown,Attack,Unknown,2023/24,1
174,Beach,Noon to 5 pm,Winter,Unknown,Harassment,Animal,2019/20,1
175,Beach,Unknown,Autumn,On a Leash,Attack,Unknown,2020/21,1
176,Beach,Unknown,Autumn,On a Leash,Attack,Unknown,2023/24,1
177,Beach,Unknown,Autumn,Unknown,Attack,Human,2019/20,1
178,Beach,Unknown,Spring,No Leash,Attack,Animal,2018/19,1
179,Beach,Unknown,Spring,No Leash,Attack,Animal,2020/21,1
180,Beach,Unknown,Spring,No Leash,Attack,Unknown,2020/21,1
181,Beach,Unknown,Spring,Unknown,Harassment,Human,2018/19,1
182,Beach,Unknown,Spring,Unknown,Harassment,Unknown,2020/21,1
183,Beach,Unknown,Summer,No Leash,Attack,Animal,2018/19,1
184,Beach,Unknown,Summer,On a Leash,Attack,Animal,bef 30 Jun 2018,1
185,Beach,Unknown,Summer,Unknown,Attack,Unknown,2020/21,1
186,Beach,Unknown,Summer,Unknown,Attack,Unknown,2021/22,1
187,Beach,Unknown,Summer,Unknown,Harassment,Human,2018/19,2
188,Beach,Unknown,Winter,No Leash,Attack,Animal,2018/19,1
189,Beach,Unknown,Winter,Unknown,Harassment,Human,2021/22,1
190,Beach,Unknown,Winter,Unknown,Harassment,Unknown,2018/19,1
191,Beach,Unknown,Winter,Unknown,Harassment,Unknown,bef 30 Jun 2018,1
192,Commercial property,5 pm to 8 pm,Spring,No Leash,Attack,Human,2022/23,1
193,Commercial property,5 pm to 8 pm,Summer,No Leash,Harassment,Animal,2019/20,1
194,Commercial property,5 pm to 8 pm,Summer,Unknown,Attack,Human,2020/21,1
195,Commercial property,5 pm to 8 pm,Winter,No Leash,Attack,Human,2021/22,1
196,Commercial property,5 pm to 8 pm,Winter,On a Leash,Attack,Human,2018/19,1
197,Commercial property,5 pm to 8 pm,Winter,Unknown,Attack,Animal,2021/22,2
198,Commercial property,5 pm to 8 pm,Winter,Unknown,Attack,Human,2022/23,1
199,Commercial property,6 am to 9 am,Autumn,Unknown,Attack,Human,2019/20,1
200,Commercial property,6 am to 9 am,Spring,No Leash,Attack,Human,bef 30 Jun 2018,1
201,Commercial property,6 am to 9 am,Spring,Unknown,Attack,Animal,2022/23,1
202,Commercial property,8 pm to 10 pm,Spring,Unknown,Attack,Human,2021/22,1
203,Commercial property,9 am to Noon,Autumn,No Leash,Attack,Unknown,bef 30 Jun 2018,1
204,Commercial property,9 am to Noon,Autumn,On a Leash,Attack,Human,2021/22,1
205,Commercial property,9 am to Noon,Spring,No Leash,Attack,Animal,2020/21,1
206,Commercial property,9 am to Noon,Spring,No Leash,Harassment,Human,2020/21,1
207,Commercial property,9 am to Noon,Spring,On a Leash,Attack,Animal,2020/21,1
208,Commercial property,9 am to Noon,Spring,On a Leash,Attack,Human,2023/24,1
209,Commercial property,9 am to Noon,Spring,Unknown,Attack,Unknown,2021/22,1
210,Commercial property,9 am to Noon,Summer,No Leash,Attack,Human,2020/21,1
211,Commercial property,9 am to Noon,Summer,On a Leash,Attack,Animal,2019/20,1
212,Commercial property,9 am to Noon,Summer,On a Leash,Attack,Human,2021/22,1
213,Commercial property,9 am to Noon,Summer,On a Leash,Attack,Unknown,2020/21,2
214,Commercial property,9 am to Noon,Summer,Unknown,Attack,Animal,2020/21,1
215,Commercial property,9 am to Noon,Summer,Unknown,Attack,Human,2018/19,1
216,Commercial property,9 am to Noon,Summer,Unknown,Attack,Human,2020/21,1
217,Commercial property,9 am to Noon,Summer,Unknown,Attack,Human,2023/24,1
218,Commercial property,9 am to Noon,Winter,No Leash,Attack,Animal,2021/22,1
219,Commercial property,9 am to Noon,Winter,No Leash,Attack,Human,2020/21,1
220,Commercial property,9 am to Noon,Winter,No Leash,Harassment,Unknown,2020/21,1
221,Commercial property,9 am to Noon,Winter,On a Leash,Attack,Human,2019/20,1
222,Commercial property,9 am to Noon,Winter,On a Leash,Attack,Human,2020/21,1
223,Commercial property,9 am to Noon,Winter,Unknown,Attack,Human,2019/20,1
224,Commercial property,Noon to 5 pm,Autumn,No Leash,Attack,Human,2022/23,1
225,Commercial property,Noon to 5 pm,Autumn,On a Leash,Attack,Human,2020/21,3
226,Commercial property,Noon to 5 pm,Autumn,On a Leash,Attack,Unknown,2022/23,1
227,Commercial property,Noon to 5 pm,Autumn,Unknown,Attack,Human,2019/20,2
228,Commercial property,Noon to 5 pm,Autumn,Unknown,Attack,Human,2023/24,1
229,Commercial property,Noon to 5 pm,Autumn,Unknown,Attack,Unknown,2021/22,1
230,Commercial property,Noon to 5 pm,Autumn,Unknown,Attack,Unknown,2022/23,1
231,Commercial property,Noon to 5 pm,Spring,No Leash,Attack,Animal,2019/20,2
232,Commercial property,Noon to 5 pm,Spring,No Leash,Attack,Human,2018/19,1
233,Commercial property,Noon to 5 pm,Spring,Unknown,Attack,Human,2021/22,1
234,Commercial property,Noon to 5 pm,Spring,Unknown,Attack,Unknown,bef 30 Jun 2018,1
235,Commercial property,Noon to 5 pm,Spring,Unknown,Harassment,Animal,2023/24,1
236,Commercial property,Noon to 5 pm,Summer,No Leash,Attack,Animal,2023/24,1
237,Commercial property,Noon to 5 pm,Summer,No Leash,Attack,Human,2018/19,1
238,Commercial property,Noon to 5 pm,Summer,No Leash,Attack,Human,2019/20,1
239,Commercial property,Noon to 5 pm,Summer,No Leash,Attack,Human,2020/21,3
240,Commercial property,Noon to 5 pm,Summer,On a Leash,Harassment,Animal,2019/20,1
241,Commercial property,Noon to 5 pm,Summer,Unknown,Attack,Human,2021/22,1
242,Commercial property,Noon to 5 pm,Summer,Unknown,Attack,Unknown,2021/22,1
243,Commercial property,Noon to 5 pm,Summer,Unknown,Harassment,Human,2019/20,1
244,Commercial property,Noon to 5 pm,Winter,No Leash,Attack,Human,2018/19,1
245,Commercial property,Noon to 5 pm,Winter,No Leash,Attack,Human,2021/22,1
246,Commercial property,Noon to 5 pm,Winter,No Leash,Attack,Unknown,2021/22,2
247,Commercial property,Noon to 5 pm,Winter,On a Leash,Attack,Animal,2019/20,1
248,Commercial property,Noon to 5 pm,Winter,On a Leash,Attack,Unknown,2023/24,1
249,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Animal,2020/21,1
250,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Animal,2022/23,1
251,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Human,2018/19,1
252,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Human,2021/22,1
253,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Human,2022/23,1
254,Commercial property,Noon to 5 pm,Winter,Unknown,Attack,Unknown,2021/22,1
255,Commercial property,Unknown,Autumn,No Leash,Attack,Animal,2020/21,1
256,Commercial property,Unknown,Autumn,On a Leash,Attack,Human,2021/22,1
257,Commercial property,Unknown,Autumn,Unknown,Attack,Animal,2020/21,1
258,Commercial property,Unknown,Autumn,Unknown,Harassment,Unknown,2022/23,1
259,Commercial property,Unknown,Spring,No Leash,Attack,Human,2021/22,1
260,Commercial property,Unknown,Spring,Unknown,Attack,Animal,2020/21,1
261,Commercial property,Unknown,Summer,No Leash,Attack,Animal,2020/21,1
262,Commercial property,Unknown,Summer,No Leash,Attack,Unknown,2019/20,1
263,Commercial property,Unknown,Summer,Unknown,Attack,Animal,2020/21,1
264,Commercial property,Unknown,Summer,Unknown,Attack,Unknown,2020/21,1
265,Commercial property,Unknown,Winter,No Leash,Attack,Unknown,2021/22,1
266,Commercial property,Unknown,Winter,Unknown,Attack,Animal,2020/21,1
267,Commercial property,Unknown,Winter,Unknown,Attack,Unknown,2018/19,1
268,Commercial property,Unknown,Winter,Unknown,Harassment,Unknown,2020/21,1
269,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,2020/21,1
270,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,2022/23,1
271,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Human,2020/21,1
272,Dog Park,5 pm to 8 pm,Autumn,No Leash,Attack,Unknown,2021/22,1
273,Dog Park,5 pm to 8 pm,Autumn,No Leash,Harassment,Animal,2023/24,1
274,Dog Park,5 pm to 8 pm,Autumn,On a Leash,Attack,Animal,2022/23,1
275,Dog Park,5 pm to 8 pm,Autumn,Unknown,Attack,Animal,2019/20,1
276,Dog Park,5 pm to 8 pm,Autumn,Unknown,Attack,Animal,2020/21,1
277,Dog Park,5 pm to 8 pm,Autumn,Unknown,Attack,Animal,2022/23,1
278,Dog Park,5 pm to 8 pm,Autumn,Unknown,Attack,Human,2021/22,1
279,Dog Park,5 pm to 8 pm,Autumn,Unknown,Harassment,Animal,2021/22,1
280,Dog Park,5 pm to 8 pm,Spring,No Leash,Attack,Animal,2020/21,2
281,Dog Park,5 pm to 8 pm,Spring,No Leash,Attack,Animal,2021/22,1
282,Dog Park,5 pm to 8 pm,Spring,No Leash,Attack,Human,2018/19,1
283,Dog Park,5 pm to 8 pm,Spring,No Leash,Attack,Human,2019/20,1
284,Dog Park,5 pm to 8 pm,Spring,No Leash,Harassment,Human,2018/19,1
285,Dog Park,5 pm to 8 pm,Spring,On a Leash,Attack,Animal,2023/24,1
286,Dog Park,5 pm to 8 pm,Spring,Unknown,Attack,Animal,2020/21,1
287,Dog Park,5 pm to 8 pm,Spring,Unknown,Attack,Animal,2023/24,1
288,Dog Park,5 pm to 8 pm,Spring,Unknown,Attack,Unknown,2023/24,1
289,Dog Park,5 pm to 8 pm,Spring,Unknown,Harassment,Animal,2020/21,1
290,Dog Park,5 pm to 8 pm,Spring,Unknown,Harassment,Animal,2022/23,1
291,Dog Park,5 pm to 8 pm,Spring,Unknown,Harassment,Unknown,2020/21,1
292,Dog Park,5 pm to 8 pm,Spring,Unknown,Harassment,Unknown,2022/23,1
293,Dog Park,5 pm to 8 pm,Summer,No Leash,Attack,Animal,2022/23,2
294,Dog Park,5 pm to 8 pm,Summer,No Leash,Attack,Human,2021/22,2
295,Dog Park,5 pm to 8 pm,Summer,No Leash,Harassment,Animal,2020/21,1
296,Dog Park,5 pm to 8 pm,Summer,No Leash,Harassment,Animal,2022/23,1
297,Dog Park,5 pm to 8 pm,Summer,Unknown,Attack,Animal,2020/21,1
298,Dog Park,5 pm to 8 pm,Summer,Unknown,Attack,Both,2019/20,1
299,Dog Park,5 pm to 8 pm,Summer,Unknown,Attack,Unknown,2020/21,1
300,Dog Park,5 pm to 8 pm,Summer,Unknown,Attack,Unknown,2021/22,1
301,Dog Park,5 pm to 8 pm,Summer,Unknown,Attack,Unknown,2023/24,1
302,Dog Park,5 pm to 8 pm,Summer,Unknown,Harassment,Animal,2018/19,1
303,Dog Park,5 pm to 8 pm,Summer,Unknown,Harassment,Animal,2019/20,1
304,Dog Park,5 pm to 8 pm,Summer,Unknown,Harassment,Animal,2020/21,1
305,Dog Park,5 pm to 8 pm,Winter,No Leash,Attack,Animal,2019/20,1
306,Dog Park,5 pm to 8 pm,Winter,No Leash,Harassment,Animal,2018/19,1
307,Dog Park,5 pm to 8 pm,Winter,Unknown,Attack,Animal,2023/24,1
308,Dog Park,5 pm to 8 pm,Winter,Unknown,Attack,Human,2022/23,1
309,Dog Park,5 pm to 8 pm,Winter,Unknown,Attack,Human,bef 30 Jun 2018,1
310,Dog Park,5 pm to 8 pm,Winter,Unknown,Harassment,Animal,2021/22,1
311,Dog Park,5 pm to 8 pm,Winter,Unknown,Harassment,Animal,2023/24,1
312,Dog Park,6 am to 9 am,Autumn,No Leash,Attack,Animal,2021/22,1
313,Dog Park,6 am to 9 am,Autumn,No Leash,Harassment,Animal,2022/23,1
314,Dog Park,6 am to 9 am,Autumn,Unknown,Attack,Animal,2022/23,1
315,Dog Park,6 am to 9 am,Autumn,Unknown,Attack,Unknown,2019/20,1
316,Dog Park,6 am to 9 am,Spring,No Leash,Attack,Animal,2021/22,2
317,Dog Park,6 am to 9 am,Spring,No Leash,Attack,Animal,bef 30 Jun 2018,1
318,Dog Park,6 am to 9 am,Spring,No Leash,Attack,Human,2020/21,1
319,Dog Park,6 am to 9 am,Spring,No Leash,Harassment,Animal,2023/24,1
320,Dog Park,6 am to 9 am,Spring,Unknown,Attack,Animal,2021/22,2
321,Dog Park,6 am to 9 am,Spring,Unknown,Attack,Human,2019/20,1
322,Dog Park,6 am to 9 am,Summer,No Leash,Attack,Animal,2019/20,1
323,Dog Park,6 am to 9 am,Summer,No Leash,Attack,Animal,2021/22,1
324,Dog Park,6 am to 9 am,Summer,No Leash,Attack,Animal,2022/23,1
325,Dog Park,6 am to 9 am,Summer,No Leash,Harassment,Animal,2022/23,1
326,Dog Park,6 am to 9 am,Summer,No Leash,Harassment,Human,2019/20,1
327,Dog Park,6 am to 9 am,Winter,No Leash,Attack,Animal,2022/23,1
328,Dog Park,6 am to 9 am,Winter,No Leash,Harassment,Animal,2021/22,1
329,Dog Park,6 am to 9 am,Winter,On a Leash,Attack,Unknown,2023/24,1
330,Dog Park,8 pm to 10 pm,Summer,No Leash,Attack,Animal,2022/23,1
331,Dog Park,8 pm to 10 pm,Summer,No Leash,Attack,Animal,2023/24,1
332,Dog Park,8 pm to 10 pm,Summer,No Leash,Harassment,Animal,2021/22,1
333,Dog Park,9 am to Noon,Autumn,No Leash,Attack,Animal,2020/21,2
334,Dog Park,9 am to Noon,Autumn,No Leash,Attack,Human,2022/23,1
335,Dog Park,9 am to Noon,Autumn,No Leash,Attack,Human,2023/24,1
336,Dog Park,9 am to Noon,Autumn,No Leash,Harassment,Animal,2023/24,1
337,Dog Park,9 am to Noon,Autumn,No Leash,Harassment,Both,2023/24,1
338,Dog Park,9 am to Noon,Autumn,No Leash,Harassment,Unknown,2020/21,1
339,Dog Park,9 am to Noon,Autumn,Unknown,Attack,Animal,2019/20,1
340,Dog Park,9 am to Noon,Autumn,Unknown,Attack,Animal,2022/23,1
