"_id","LocationType","Time","Season","OffendingAnimalLeashStatus","IncidentType","VictimType","FinancialYear","Count","Date","YearExtracted","MonthExtracted"
59,"Beach","6 am to 9 am","Summer","No Leash","Harassment","Animal","2020/21",1,2021-01-01,2021,1
60,"Beach","6 am to 9 am","Summer","On a Leash","Attack","Animal","2019/20",2,2020-01-01,2020,1
61,"Beach","6 am to 9 am","Summer","Unknown","Attack","Animal","2020/21",1,2021-01-01,2021,1
62,"Beach","6 am to 9 am","Summer","Unknown","Attack","Animal","2022/23",1,2023-01-01,2023,1
63,"Beach","6 am to 9 am","Summer","Unknown","Attack","Human","2018/19",1,2019-01-01,2019,1
64,"Beach","6 am to 9 am","Summer","Unknown","Attack","Human","2023/24",1,2024-01-01,2024,1
65,"Beach","6 am to 9 am","Summer","Unknown","Harassment","Unknown","2023/24",1,2024-01-01,2024,1
66,"Beach","6 am to 9 am","Winter","No Leash","Attack","Animal","2022/23",1,2022-07-01,2022,7
67,"Beach","6 am to 9 am","Winter","No Leash","Harassment","Animal","2023/24",1,2023-07-01,2023,7
68,"Beach","6 am to 9 am","Winter","No Leash","Harassment","Human","2020/21",1,2020-07-01,2020,7
69,"Beach","6 am to 9 am","Winter","On a Leash","Attack","Human","2020/21",1,2020-07-01,2020,7
70,"Beach","6 am to 9 am","Winter","Unknown","Attack","Unknown","2021/22",1,2021-07-01,2021,7
71,"Beach","6 am to 9 am","Winter","Unknown","Harassment","Animal","2019/20",1,2019-07-01,2019,7
72,"Beach","6 am to 9 am","Winter","Unknown","Harassment","Human","2018/19",1,2018-07-01,2018,7
73,"Beach","6 am to 9 am","Winter","Unknown","Harassment","Unknown","2019/20",1,2019-07-01,2019,7
74,"Beach","8 pm to 10 pm","Autumn","Unknown","Attack","Animal","2021/22",1,2022-04-01,2022,4
75,"Beach","8 pm to 10 pm","Autumn","Unknown","Attack","Unknown","2019/20",1,2020-04-01,2020,4
76,"Beach","8 pm to 10 pm","Spring","Unknown","Attack","Animal","2021/22",1,2021-10-01,2021,10
77,"Beach","8 pm to 10 pm","Summer","No Leash","Attack","Animal","2022/23",1,2023-01-01,2023,1
78,"Beach","8 pm to 10 pm","Summer","Unknown","Attack","Animal","2018/19",1,2019-01-01,2019,1
79,"Beach","9 am to Noon","Autumn","No Leash","Attack","Animal","2018/19",2,2019-04-01,2019,4
80,"Beach","9 am to Noon","Autumn","No Leash","Attack","Human","2019/20",1,2020-04-01,2020,4
81,"Beach","9 am to Noon","Autumn","No Leash","Harassment","Human","2020/21",1,2021-04-01,2021,4
82,"Beach","9 am to Noon","Autumn","No Leash","Harassment","Human","2023/24",1,2024-04-01,2024,4
83,"Beach","9 am to Noon","Autumn","No Leash","Harassment","Unknown","2021/22",1,2022-04-01,2022,4
84,"Beach","9 am to Noon","Autumn","On a Leash","Attack","Unknown","2021/22",1,2022-04-01,2022,4
85,"Beach","9 am to Noon","Autumn","Unknown","Attack","Animal","2023/24",1,2024-04-01,2024,4
86,"Beach","9 am to Noon","Autumn","Unknown","Attack","Human","2020/21",1,2021-04-01,2021,4
87,"Beach","9 am to Noon","Autumn","Unknown","Attack","Unknown","2019/20",1,2020-04-01,2020,4
88,"Beach","9 am to Noon","Autumn","Unknown","Harassment","Animal","2020/21",1,2021-04-01,2021,4
89,"Beach","9 am to Noon","Autumn","Unknown","Harassment","Human","2022/23",1,2023-04-01,2023,4
90,"Beach","9 am to Noon","Spring","No Leash","Attack","Animal","2020/21",1,2020-10-01,2020,10
91,"Beach","9 am to Noon","Spring","No Leash","Attack","Animal","2021/22",1,2021-10-01,2021,10
92,"Beach","9 am to Noon","Spring","No Leash","Attack","Animal","2023/24",1,2023-10-01,2023,10
93,"Beach","9 am to Noon","Spring","No Leash","Attack","Unknown","2020/21",1,2020-10-01,2020,10
94,"Beach","9 am to Noon","Spring","No Leash","Attack","Unknown","2022/23",1,2022-10-01,2022,10
95,"Beach","9 am to Noon","Spring","On a Leash","Attack","Animal","2020/21",2,2020-10-01,2020,10
96,"Beach","9 am to Noon","Spring","On a Leash","Attack","Animal","2022/23",1,2022-10-01,2022,10
97,"Beach","9 am to Noon","Spring","Unknown","Attack","Animal","2018/19",1,2018-10-01,2018,10
98,"Beach","9 am to Noon","Summer","No Leash","Attack","Animal","2018/19",1,2019-01-01,2019,1
99,"Beach","9 am to Noon","Summer","No Leash","Attack","Animal","2020/21",1,2021-01-01,2021,1
100,"Beach","9 am to Noon","Summer","No Leash","Attack","Animal","2021/22",2,2022-01-01,2022,1
101,"Beach","9 am to Noon","Summer","No Leash","Attack","Human","2018/19",1,2019-01-01,2019,1
102,"Beach","9 am to Noon","Summer","No Leash","Attack","Human","2019/20",2,2020-01-01,2020,1
103,"Beach","9 am to Noon","Summer","No Leash","Attack","Unknown","2021/22",1,2022-01-01,2022,1
104,"Beach","9 am to Noon","Summer","No Leash","Attack","Unknown","2022/23",1,2023-01-01,2023,1
105,"Beach","9 am to Noon","Summer","No Leash","Harassment","Animal","2020/21",1,2021-01-01,2021,1
106,"Beach","9 am to Noon","Summer","No Leash","Harassment","Human","2020/21",1,2021-01-01,2021,1
107,"Beach","9 am to Noon","Summer","On a Leash","Attack","Animal","2019/20",1,2020-01-01,2020,1
108,"Beach","9 am to Noon","Summer","On a Leash","Attack","Human","2018/19",1,2019-01-01,2019,1
109,"Beach","9 am to Noon","Summer","Unknown","Attack","Animal","2018/19",1,2019-01-01,2019,1
110,"Beach","9 am to Noon","Summer","Unknown","Attack","Unknown","2020/21",1,2021-01-01,2021,1
111,"Beach","9 am to Noon","Summer","Unknown","Attack","Unknown","2021/22",1,2022-01-01,2022,1
112,"Beach","9 am to Noon","Summer","Unknown","Harassment","Unknown","2021/22",1,2022-01-01,2022,1
113,"Beach","9 am to Noon","Winter","No Leash","Attack","Unknown","2023/24",1,2023-07-01,2023,7
114,"Beach","9 am to Noon","Winter","No Leash","Harassment","Animal","2018/19",1,2018-07-01,2018,7
115,"Beach","9 am to Noon","Winter","No Leash","Harassment","Animal","2019/20",1,2019-07-01,2019,7
116,"Beach","9 am to Noon","Winter","No Leash","Harassment","Animal","2021/22",1,2021-07-01,2021,7
117,"Beach","9 am to Noon","Winter","No Leash","Harassment","Both","2018/19",1,2018-07-01,2018,7
118,"Beach","9 am to Noon","Winter","No Leash","Harassment","Human","2018/19",1,2018-07-01,2018,7
119,"Beach","9 am to Noon","Winter","No Leash","Harassment","Human","2019/20",1,2019-07-01,2019,7
120,"Beach","9 am to Noon","Winter","Unknown","Attack","Animal","2020/21",1,2020-07-01,2020,7
121,"Beach","9 am to Noon","Winter","Unknown","Harassment","Animal","2022/23",1,2022-07-01,2022,7
122,"Beach","9 am to Noon","Winter","Unknown","Harassment","Human","2020/21",1,2020-07-01,2020,7
123,"Beach","9 am to Noon","Winter","Unknown","Harassment","Unknown","2023/24",1,2023-07-01,2023,7
124,"Beach","Noon to 5 pm","Autumn","No Leash","Attack","Animal","2020/21",1,2021-04-01,2021,4
125,"Beach","Noon to 5 pm","Autumn","No Leash","Attack","Human","2020/21",1,2021-04-01,2021,4
126,"Beach","Noon to 5 pm","Autumn","No Leash","Attack","Human","2021/22",1,2022-04-01,2022,4
127,"Beach","Noon to 5 pm","Autumn","No Leash","Harassment","Human","2023/24",1,2024-04-01,2024,4
128,"Beach","Noon to 5 pm","Autumn","On a Leash","Attack","Animal","2018/19",1,2019-04-01,2019,4
129,"Beach","Noon to 5 pm","Autumn","Unknown","Attack","Animal","2019/20",1,2020-04-01,2020,4
130,"Beach","Noon to 5 pm","Autumn","Unknown","Attack","Animal","2020/21",1,2021-04-01,2021,4
131,"Beach","Noon to 5 pm","Autumn","Unknown","Attack","Human","2018/19",1,2019-04-01,2019,4
132,"Beach","Noon to 5 pm","Autumn","Unknown","Attack","Human","2019/20",1,2020-04-01,2020,4
133,"Beach","Noon to 5 pm","Autumn","Unknown","Attack","Unknown","2021/22",1,2022-04-01,2022,4
134,"Beach","Noon to 5 pm","Autumn","Unknown","Harassment","Human","2020/21",2,2021-04-01,2021,4
135,"Beach","Noon to 5 pm","Autumn","Unknown","Harassment","Unknown","2021/22",1,2022-04-01,2022,4
136,"Beach","Noon to 5 pm","Spring","No Leash","Attack","Human","2020/21",1,2020-10-01,2020,10
137,"Beach","Noon to 5 pm","Spring","No Leash","Attack","Unknown","2023/24",1,2023-10-01,2023,10
138,"Beach","Noon to 5 pm","Spring","No Leash","Harassment","Animal","2020/21",1,2020-10-01,2020,10
139,"Beach","Noon to 5 pm","Spring","No Leash","Harassment","Animal","2022/23",1,2022-10-01,2022,10
140,"Beach","Noon to 5 pm","Spring","No Leash","Harassment","Unknown","2021/22",1,2021-10-01,2021,10
141,"Beach","Noon to 5 pm","Spring","On a Leash","Attack","Animal","2022/23",1,2022-10-01,2022,10
142,"Beach","Noon to 5 pm","Spring","On a Leash","Attack","Human","2021/22",1,2021-10-01,2021,10
143,"Beach","Noon to 5 pm","Spring","Unknown","Attack","Animal","2018/19",1,2018-10-01,2018,10
144,"Beach","Noon to 5 pm","Spring","Unknown","Attack","Animal","2019/20",1,2019-10-01,2019,10
145,"Beach","Noon to 5 pm","Spring","Unknown","Attack","Unknown","2021/22",1,2021-10-01,2021,10
146,"Beach","Noon to 5 pm","Spring","Unknown","Harassment","Human","2021/22",1,2021-10-01,2021,10
147,"Beach","Noon to 5 pm","Summer","No Leash","Attack","Human","2018/19",1,2019-01-01,2019,1
148,"Beach","Noon to 5 pm","Summer","No Leash","Attack","Unknown","2020/21",1,2021-01-01,2021,1
149,"Beach","Noon to 5 pm","Summer","No Leash","Attack","Unknown","2023/24",1,2024-01-01,2024,1
150,"Beach","Noon to 5 pm","Summer","On a Leash","Attack","Animal","2018/19",1,2019-01-01,2019,1
151,"Beach","Noon to 5 pm","Summer","On a Leash","Attack","Animal","2019/20",2,2020-01-01,2020,1
152,"Beach","Noon to 5 pm","Summer","On a Leash","Attack","Animal","2022/23",1,2023-01-01,2023,1
153,"Beach","Noon to 5 pm","Summer","On a Leash","Attack","Both","2019/20",1,2020-01-01,2020,1
154,"Beach","Noon to 5 pm","Summer","On a Leash","Harassment","Unknown","2023/24",1,2024-01-01,2024,1
155,"Beach","Noon to 5 pm","Summer","Unknown","Attack","Animal","2019/20",2,2020-01-01,2020,1
156,"Beach","Noon to 5 pm","Summer","Unknown","Attack","Animal","2020/21",1,2021-01-01,2021,1
157,"Beach","Noon to 5 pm","Summer","Unknown","Attack","Human","2020/21",1,2021-01-01,2021,1
158,"Beach","Noon to 5 pm","Summer","Unknown","Attack","Human","2021/22",1,2022-01-01,2022,1
159,"Beach","Noon to 5 pm","Summer","Unknown","Attack","Human","2022/23",1,2023-01-01,2023,1
160,"Beach","Noon to 5 pm","Summer","Unknown","Attack","Human","2023/24",1,2024-01-01,2024,1
161,"Beach","Noon to 5 pm","Summer","Unknown","Harassment","Animal","2018/19",1,2019-01-01,2019,1
162,"Beach","Noon to 5 pm","Summer","Unknown","Harassment","Animal","2019/20",1,2020-01-01,2020,1
163,"Beach","Noon to 5 pm","Summer","Unknown","Harassment","Both","2018/19",1,2019-01-01,2019,1
164,"Beach","Noon to 5 pm","Summer","Unknown","Harassment","Unknown","2021/22",1,2022-01-01,2022,1
165,"Beach","Noon to 5 pm","Winter","No Leash","Harassment","Human","2020/21",1,2020-07-01,2020,7
166,"Beach","Noon to 5 pm","Winter","On a Leash","Attack","Human","2018/19",1,2018-07-01,2018,7
167,"Beach","Noon to 5 pm","Winter","Unknown","Attack","Animal","2018/19",1,2018-07-01,2018,7
168,"Beach","Noon to 5 pm","Winter","Unknown","Attack","Animal","2023/24",1,2023-07-01,2023,7
169,"Beach","Noon to 5 pm","Winter","Unknown","Attack","Unknown","2019/20",1,2019-07-01,2019,7
170,"Beach","Noon to 5 pm","Winter","Unknown","Attack","Unknown","2020/21",2,2020-07-01,2020,7
171,"Beach","Noon to 5 pm","Winter","Unknown","Attack","Unknown","2021/22",2,2021-07-01,2021,7
172,"Beach","Noon to 5 pm","Winter","Unknown","Attack","Unknown","2022/23",1,2022-07-01,2022,7
173,"Beach","Noon to 5 pm","Winter","Unknown","Attack","Unknown","2023/24",1,2023-07-01,2023,7
174,"Beach","Noon to 5 pm","Winter","Unknown","Harassment","Animal","2019/20",1,2019-07-01,2019,7
175,"Beach","Unknown","Autumn","On a Leash","Attack","Unknown","2020/21",1,2021-04-01,2021,4
176,"Beach","Unknown","Autumn","On a Leash","Attack","Unknown","2023/24",1,2024-04-01,2024,4
177,"Beach","Unknown","Autumn","Unknown","Attack","Human","2019/20",1,2020-04-01,2020,4
178,"Beach","Unknown","Spring","No Leash","Attack","Animal","2018/19",1,2018-10-01,2018,10
179,"Beach","Unknown","Spring","No Leash","Attack","Animal","2020/21",1,2020-10-01,2020,10
180,"Beach","Unknown","Spring","No Leash","Attack","Unknown","2020/21",1,2020-10-01,2020,10
181,"Beach","Unknown","Spring","Unknown","Harassment","Human","2018/19",1,2018-10-01,2018,10
182,"Beach","Unknown","Spring","Unknown","Harassment","Unknown","2020/21",1,2020-10-01,2020,10
183,"Beach","Unknown","Summer","No Leash","Attack","Animal","2018/19",1,2019-01-01,2019,1
185,"Beach","Unknown","Summer","Unknown","Attack","Unknown","2020/21",1,2021-01-01,2021,1
186,"Beach","Unknown","Summer","Unknown","Attack","Unknown","2021/22",1,2022-01-01,2022,1
187,"Beach","Unknown","Summer","Unknown","Harassment","Human","2018/19",2,2019-01-01,2019,1
188,"Beach","Unknown","Winter","No Leash","Attack","Animal","2018/19",1,2018-07-01,2018,7
189,"Beach","Unknown","Winter","Unknown","Harassment","Human","2021/22",1,2021-07-01,2021,7
190,"Beach","Unknown","Winter","Unknown","Harassment","Unknown","2018/19",1,2018-07-01,2018,7
192,"Commercial property","5 pm to 8 pm","Spring","No Leash","Attack","Human","2022/23",1,2022-10-01,2022,10
193,"Commercial property","5 pm to 8 pm","Summer","No Leash","Harassment","Animal","2019/20",1,2020-01-01,2020,1
194,"Commercial property","5 pm to 8 pm","Summer","Unknown","Attack","Human","2020/21",1,2021-01-01,2021,1
195,"Commercial property","5 pm to 8 pm","Winter","No Leash","Attack","Human","2021/22",1,2021-07-01,2021,7
196,"Commercial property","5 pm to 8 pm","Winter","On a Leash","Attack","Human","2018/19",1,2018-07-01,2018,7
197,"Commercial property","5 pm to 8 pm","Winter","Unknown","Attack","Animal","2021/22",2,2021-07-01,2021,7
198,"Commercial property","5 pm to 8 pm","Winter","Unknown","Attack","Human","2022/23",1,2022-07-01,2022,7
199,"Commercial property","6 am to 9 am","Autumn","Unknown","Attack","Human","2019/20",1,2020-04-01,2020,4
201,"Commercial property","6 am to 9 am","Spring","Unknown","Attack","Animal","2022/23",1,2022-10-01,2022,10
202,"Commercial property","8 pm to 10 pm","Spring","Unknown","Attack","Human","2021/22",1,2021-10-01,2021,10
204,"Commercial property","9 am to Noon","Autumn","On a Leash","Attack","Human","2021/22",1,2022-04-01,2022,4
205,"Commercial property","9 am to Noon","Spring","No Leash","Attack","Animal","2020/21",1,2020-10-01,2020,10
206,"Commercial property","9 am to Noon","Spring","No Leash","Harassment","Human","2020/21",1,2020-10-01,2020,10
207,"Commercial property","9 am to Noon","Spring","On a Leash","Attack","Animal","2020/21",1,2020-10-01,2020,10
208,"Commercial property","9 am to Noon","Spring","On a Leash","Attack","Human","2023/24",1,2023-10-01,2023,10
209,"Commercial property","9 am to Noon","Spring","Unknown","Attack","Unknown","2021/22",1,2021-10-01,2021,10
210,"Commercial property","9 am to Noon","Summer","No Leash","Attack","Human","2020/21",1,2021-01-01,2021,1
211,"Commercial property","9 am to Noon","Summer","On a Leash","Attack","Animal","2019/20",1,2020-01-01,2020,1
212,"Commercial property","9 am to Noon","Summer","On a Leash","Attack","Human","2021/22",1,2022-01-01,2022,1
213,"Commercial property","9 am to Noon","Summer","On a Leash","Attack","Unknown","2020/21",2,2021-01-01,2021,1
214,"Commercial property","9 am to Noon","Summer","Unknown","Attack","Animal","2020/21",1,2021-01-01,2021,1
215,"Commercial property","9 am to Noon","Summer","Unknown","Attack","Human","2018/19",1,2019-01-01,2019,1
216,"Commercial property","9 am to Noon","Summer","Unknown","Attack","Human","2020/21",1,2021-01-01,2021,1
217,"Commercial property","9 am to Noon","Summer","Unknown","Attack","Human","2023/24",1,2024-01-01,2024,1
218,"Commercial property","9 am to Noon","Winter","No Leash","Attack","Animal","2021/22",1,2021-07-01,2021,7
219,"Commercial property","9 am to Noon","Winter","No Leash","Attack","Human","2020/21",1,2020-07-01,2020,7
220,"Commercial property","9 am to Noon","Winter","No Leash","Harassment","Unknown","2020/21",1,2020-07-01,2020,7
221,"Commercial property","9 am to Noon","Winter","On a Leash","Attack","Human","2019/20",1,2019-07-01,2019,7
222,"Commercial property","9 am to Noon","Winter","On a Leash","Attack","Human","2020/21",1,2020-07-01,2020,7
223,"Commercial property","9 am to Noon","Winter","Unknown","Attack","Human","2019/20",1,2019-07-01,2019,7
224,"Commercial property","Noon to 5 pm","Autumn","No Leash","Attack","Human","2022/23",1,2023-04-01,2023,4
225,"Commercial property","Noon to 5 pm","Autumn","On a Leash","Attack","Human","2020/21",3,2021-04-01,2021,4
226,"Commercial property","Noon to 5 pm","Autumn","On a Leash","Attack","Unknown","2022/23",1,2023-04-01,2023,4
227,"Commercial property","Noon to 5 pm","Autumn","Unknown","Attack","Human","2019/20",2,2020-04-01,2020,4
228,"Commercial property","Noon to 5 pm","Autumn","Unknown","Attack","Human","2023/24",1,2024-04-01,2024,4
229,"Commercial property","Noon to 5 pm","Autumn","Unknown","Attack","Unknown","2021/22",1,2022-04-01,2022,4
230,"Commercial property","Noon to 5 pm","Autumn","Unknown","Attack","Unknown","2022/23",1,2023-04-01,2023,4
231,"Commercial property","Noon to 5 pm","Spring","No Leash","Attack","Animal","2019/20",2,2019-10-01,2019,10
232,"Commercial property","Noon to 5 pm","Spring","No Leash","Attack","Human","2018/19",1,2018-10-01,2018,10
233,"Commercial property","Noon to 5 pm","Spring","Unknown","Attack","Human","2021/22",1,2021-10-01,2021,10
235,"Commercial property","Noon to 5 pm","Spring","Unknown","Harassment","Animal","2023/24",1,2023-10-01,2023,10
236,"Commercial property","Noon to 5 pm","Summer","No Leash","Attack","Animal","2023/24",1,2024-01-01,2024,1
237,"Commercial property","Noon to 5 pm","Summer","No Leash","Attack","Human","2018/19",1,2019-01-01,2019,1
238,"Commercial property","Noon to 5 pm","Summer","No Leash","Attack","Human","2019/20",1,2020-01-01,2020,1
239,"Commercial property","Noon to 5 pm","Summer","No Leash","Attack","Human","2020/21",3,2021-01-01,2021,1
240,"Commercial property","Noon to 5 pm","Summer","On a Leash","Harassment","Animal","2019/20",1,2020-01-01,2020,1
241,"Commercial property","Noon to 5 pm","Summer","Unknown","Attack","Human","2021/22",1,2022-01-01,2022,1
242,"Commercial property","Noon to 5 pm","Summer","Unknown","Attack","Unknown","2021/22",1,2022-01-01,2022,1
243,"Commercial property","Noon to 5 pm","Summer","Unknown","Harassment","Human","2019/20",1,2020-01-01,2020,1
244,"Commercial property","Noon to 5 pm","Winter","No Leash","Attack","Human","2018/19",1,2018-07-01,2018,7
245,"Commercial property","Noon to 5 pm","Winter","No Leash","Attack","Human","2021/22",1,2021-07-01,2021,7
246,"Commercial property","Noon to 5 pm","Winter","No Leash","Attack","Unknown","2021/22",2,2021-07-01,2021,7
247,"Commercial property","Noon to 5 pm","Winter","On a Leash","Attack","Animal","2019/20",1,2019-07-01,2019,7
248,"Commercial property","Noon to 5 pm","Winter","On a Leash","Attack","Unknown","2023/24",1,2023-07-01,2023,7
249,"Commercial property","Noon to 5 pm","Winter","Unknown","Attack","Animal","2020/21",1,2020-07-01,2020,7
250,"Commercial property","Noon to 5 pm","Winter","Unknown","Attack","Animal","2022/23",1,2022-07-01,2022,7
251,"Commercial property","Noon to 5 pm","Winter","Unknown","Attack","Human","2018/19",1,2018-07-01,2018,7
252,"Commercial property","Noon to 5 pm","Winter","Unknown","Attack","Human","2021/22",1,2021-07-01,2021,7
253,"Commercial property","Noon to 5 pm","Winter","Unknown","Attack","Human","2022/23",1,2022-07-01,2022,7
254,"Commercial property","Noon to 5 pm","Winter","Unknown","Attack","Unknown","2021/22",1,2021-07-01,2021,7
255,"Commercial property","Unknown","Autumn","No Leash","Attack","Animal","2020/21",1,2021-04-01,2021,4
256,"Commercial property","Unknown","Autumn","On a Leash","Attack","Human","2021/22",1,2022-04-01,2022,4
257,"Commercial property","Unknown","Autumn","Unknown","Attack","Animal","2020/21",1,2021-04-01,2021,4
258,"Commercial property","Unknown","Autumn","Unknown","Harassment","Unknown","2022/23",1,2023-04-01,2023,4
259,"Commercial property","Unknown","Spring","No Leash","Attack","Human","2021/22",1,2021-10-01,2021,10
260,"Commercial property","Unknown","Spring","Unknown","Attack","Animal","2020/21",1,2020-10-01,2020,10
261,"Commercial property","Unknown","Summer","No Leash","Attack","Animal","2020/21",1,2021-01-01,2021,1
262,"Commercial property","Unknown","Summer","No Leash","Attack","Unknown","2019/20",1,2020-01-01,2020,1
263,"Commercial property","Unknown","Summer","Unknown","Attack","Animal","2020/21",1,2021-01-01,2021,1
264,"Commercial property","Unknown","Summer","Unknown","Attack","Unknown","2020/21",1,2021-01-01,2021,1
265,"Commercial property","Unknown","Winter","No Leash","Attack","Unknown","2021/22",1,2021-07-01,2021,7
266,"Commercial property","Unknown","Winter","Unknown","Attack","Animal","2020/21",1,2020-07-01,2020,7
267,"Commercial property","Unknown","Winter","Unknown","Attack","Unknown","2018/19",1,2018-07-01,2018,7
