id,gender,baseColour,season,year,usage,productDisplayName,category_id
57201,Women,Brown,Summer,2012,Casual,Elle Women Brown Tunic,148
48969,Men,Steel,Summer,2012,Casual,Revv Men Steel Ring,54
49246,Men,Red,Fall,2012,Casual,Arrow Men Red Cap,93
12311,Men,Blue,Fall,2011,Formal,Genesis Men Blue Shirt,67
2203,Men,Blue,Fall,2010,Sports,Adidas Men Blue Polo T-shirt,40
7341,Men,Brown,Fall,2011,Casual,Tantra Men Brown T-shirt,40
10872,Men,Blue,Fall,2011,Casual,Wrangler Men Dirtcross Blue T-Shirts,40
51838,Women,Black,Summer,2016,Casual,Bwitch Women Black Brief,21
21919,Women,Red,Fall,2011,Ethnic,BIBA Women Printed Red Kurta,87
59895,Women,Orange,Fall,2012,Casual,Femella Women Orange Dress,166
20891,Men,Green,Fall,2011,Casual,Basics Men Green Casual Shoes,3
42244,Women,Grey,Summer,2012,Casual,Sepia Women Grey Top,49
16999,Women,Blue,Winter,2012,Casual,Rocia Women Blue Flats,83
45577,Men,Black,Summer,2010,Casual,Arrow Men Black Sandals,157
23306,Women,Blue,Fall,2011,Ethnic,W Women Blue Kurta,87
51389,Men,White,Summer,2012,Casual,Myntra Men White Boxer,122
59144,Women,Black,Fall,2012,Casual,Tiptopp Women Black Sandals,65
36022,Men,Black,Fall,2012,Formal,OTLS Men Black Leather Belt,9
23151,Men,Black,Winter,2011,Formal,Genesis Black Formal Shirt,67
33753,Women,Black,Summer,2012,Casual,Vero Moda Women Black Top,49
14916,Men,White,Fall,2011,Casual,Mr. Men Men Be Happy White Tshirts,40
23336,Women,Red,Fall,2011,Ethnic,W Women Red Dupatta,6
50298,Men,Purple,Summer,2012,Formal,Parx Men Purple Tie,132
1528,Men,Black,Fall,2010,Sports,Puma Men Ferrari Black Fleece Jacket,145
53015,Women,Maroon,Fall,2012,Ethnic,FNF Maroon Sari,20
57013,Women,Black,Winter,2012,Casual,HM Women Black Heels,65
30929,Women,Grey,Summer,2012,Ethnic,Fabindia Women Grey Skirt,111
23181,Men,Red,Fall,2011,Formal,Black Coffee Men Red Check Shirt,67
1754,Men,Black,Fall,2010,Sports,Lotto Men Marcello Black T-shirt,40
35271,Women,Green,Summer,2012,Casual,Lee Women Holly Green Top,49
23322,Women,Brown,Fall,2011,Ethnic,W Women Brown Printed Kurta,87
41563,Women,Grey,Summer,2012,Casual,AND Women Grey Dress,166
2980,Men,White,Fall,2010,Casual,Puma Men's Tee2 White T-shirt,40
52982,Women,Green,Fall,2012,Ethnic,FNF Green Sari,20
11685,Men,Grey,Fall,2011,Casual,Lee Men Check Grey Shirts,67
41565,Women,Blue,Summer,2012,Casual,AND Women Blue Dress,166
32431,Men,Black,Summer,2012,Sports,ADIDAS Men Black Shorts,47
47379,Women,Blue,Summer,2012,Casual,Baggit Women Blue Bag,119
54794,Men,Blue,Summer,2012,Casual,Peter England Men Blue Jeans,18
43119,Men,NA,Spring,2017,NA,NA,38
57142,Women,Peach,Summer,2012,Casual,Elle Women Peach Top,49
35152,Men,Black,Fall,2012,Casual,Coolers Men Black Sandals,157
49618,Women,Black,Winter,2015,Casual,Catwalk Women Bronze Heels,65
45426,Women,Brown,Winter,2012,Casual,Rocia Women Brown Sandals,83
39533,Women,Black,Summer,2016,Casual,Bwitch Black Bra,128
29797,Men,Navy Blue,Summer,2012,Casual,Basics Men Navy Checked Shirt,67
57126,Women,Red,Summer,2012,Casual,Elle Women Printed Red Top,49
33235,Men,Blue,Summer,2012,Formal,Arrow Men Blue Check Shirt,67
52894,Women,Red,Fall,2012,Ethnic,FNF Red Printed Sari,20
15970,Men,Navy Blue,Fall,2011,Casual,Turtle Check Men Navy Blue Shirt,67
39386,Men,Blue,Summer,2012,Casual,Peter England Men Party Blue Jeans,18
59263,Women,Silver,Winter,2016,Casual,Titan Women Silver Watch,70
21379,Men,Black,Fall,2011,Casual,Manchester United Men Solid Black Track Pants,12
53759,Men,Grey,Summer,2012,Casual,Puma Men Grey T-shirt,40
1855,Men,Grey,Summer,2011,Casual,Inkfruit Mens Chain Reaction T-shirt,40
30805,Men,Green,Summer,2012,Ethnic,Fabindia Men Striped Green Shirt,67
26960,Women,Purple,Summer,2012,Casual,Jealous 21 Women Purple Shirt,67
29114,Men,Navy Blue,Summer,2012,Casual,Puma Men Pack of 3 Socks,75
30039,Men,Black,Winter,2016,Casual,Skagen Men Black Watch,70
9204,Men,Black,Summer,2011,Casual,Puma Men Future Cat Remix SF Black Casual Shoes,3
48123,Women,Black,Summer,2012,Casual,Fossil Women Black Huarache Weave Belt,9
18653,Men,Black,Fall,2011,Casual,Fila Men Cush Flex Black Slippers,81
47957,Women,Blue,Summer,2012,Casual,Murcia Women Blue Handbag,119
46885,Boys,Navy Blue,Fall,2012,Casual,Ben 10 Boys Navy Blue Slippers,81
12369,Men,Purple,Fall,2011,Formal,Reid & Taylor Men Check Purple Shirts,67
29928,Men,Black,Winter,2016,Casual,Police Men Black Dial Watch PL12889JVSB,70
42419,Girls,White,Summer,2012,Casual,Gini and Jony Girls Knit White Top,49
51832,Women,Beige,Summer,2016,Casual,Bwitch Beige Full-Coverage Bra BW335,128
47359,Women,Brown,Summer,2012,Casual,Baggit Women Brown Handbag,119
17429,Men,Black,Winter,2016,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,70
12967,Men,Black,Fall,2011,Casual,ADIDAS Men Spry M Black Sandals,157
6842,Unisex,Black,Summer,2011,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,88
13089,Men,Grey,Fall,2011,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,16
18461,Men,White,Spring,2017,Casual,David Beckham Signature Men Deos,154
9036,Men,Black,Winter,2011,Formal,Buckaroo Men Flores Black Formal Shoes,23
48311,Women,Bronze,Winter,2012,Casual,Pitaraa Women Bronze Beaded Bracelet,152
7990,Men,Navy Blue,Fall,2011,Sports,Fila Men's Round Neck Navy Blue T-shirt,40
56019,Women,Brown,Spring,2017,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,98
21977,Women,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,119
37812,Men,Navy Blue,Summer,2012,Formal,John Players Men Navy Blue Shirt,67
4729,Boys,Green,Summer,2011,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,40
56825,Men,Brown,Summer,2012,Casual,John Players Men Brown Shirt,67
39988,Men,White,Winter,2014,Casual,Gas Men Europa White Shoes,3
59051,Women,Black,Winter,2012,Casual,Carlton London Women Black & Gold Toned Flats,83
20099,Women,Green,Fall,2011,Ethnic,Diva Women Embroided Green Kurta,87
58183,Women,White,Summer,2012,Casual,Rocky S Women White Handbag,119
29742,Women,Teal,Summer,2012,Casual,Kiara Women Teal Handbag,119
51658,Women,Copper,Winter,2016,Casual,Fossil Women Copper Chronograph Watch CH2589,70
3954,Women,Pink,Summer,2011,Casual,Jealous 21 Women's Pink T-shirt,40
18839,Men,Black,Fall,2011,Formal,Peter England Men Formal Black Belt,9
2886,Women,Brown,Winter,2015,Casual,Catwalk Women Leather Brown Flats,83
23278,Men,Off White,Winter,2016,Casual,Maxima Ssteele Men Off White Watch,70
28690,Women,Beige,Summer,2012,Ethnic,W Women Printed Beige Kurta,87
8580,Men,Grey,Fall,2011,Casual,Scullers Men  Grey Waistcoat,162
3168,Men,White,Fall,2010,Sports,Nike Men's Incinerate MSL White Blue Shoe,26
18005,Men,Black,Summer,2011,Sports,Puma Men Long Logo Black Bermuda,47
17871,Men,Maroon,Winter,2016,Casual,Levis Men Boxer Maroon Brief,21
9452,Men,Red,Fall,2011,Formal,John Miller Men Stripes White Red Shirts,67
38402,Women,Black,Summer,2012,Casual,Baggit Women Hood Dabang Black Belt,9
44984,Women,White,Winter,2016,Casual,Maxima Women White Dial Watch,70
10268,Men,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes,23
45856,Women,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,87
32138,Men,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs,21
59435,Men,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,23
5891,Men,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt,40
38630,Women,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt,40
4943,Men,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,67
11188,Men,Silver,Winter,2016,Casual,Carrera Men Dial steel finish strap Silver Watches,70
10866,Men,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,40
59607,Women,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari,20
15528,Men,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts,40
45258,Men,Black,Winter,2016,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,70
42841,Women,Beige,Summer,2012,Casual,French Connection Women Beige Handbag,119
22198,Men,Black,Fall,2012,Casual,Timberland Men Black Casual Shoes,3
29570,Men,Purple,Summer,2012,Casual,Vans Men Classic Slip-On Purple & Black Shoes,3
43993,Women,Pink,Spring,2017,Casual,Police Women Passion Perfume,38
6628,Men,White,Summer,2011,Sports,ADIDAS Men's Lowell White Silver Shoe,26
54924,Men,Blue,Summer,2012,Casual,Do U Speak Green Men Blue Shorts,47
26538,Men,Red,Fall,2012,Casual,ID Men Red Shoes,3
35913,Women,Black,Summer,2012,Casual,Peperone Women Black & White Handbag,119
49495,Men,Khaki,Summer,2012,Casual,Vans Men Khaki Shoes,3
9660,Men,Pink,Fall,2011,Casual,Indigo Nation Men Reversible Bling Pink Shirts,67
2288,Women,Black,Fall,2010,Sports,Nike Women Black T-shirt,40
23876,Men,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt,16
18237,Men,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt,40
54118,Women,Black,Winter,2012,Casual,Rocia Women Black Flats,65
2872,Women,Brown,Winter,2015,Casual,Catwalk Women Leather Flats,65
49653,Women,Green,Summer,2012,Casual,Mineral Women Green Top,49
8574,Women,Pink,Fall,2011,Casual,Crocs Dora Boots Pink Sandals,157
16957,Men,Black,Winter,2016,Casual,Image Men Sunglasses,113
19123,Men,Silver,Fall,2011,Casual,Lotto Men XL Water Man Silver Slippers,81
13419,Men,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,40
17885,Men,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest,13
43369,Men,Black,Summer,2013,Casual,Reebok Men Black Possession Flip Flops,81
48781,Women,Silver,Summer,2012,Casual,Lucera Women Silver Pendant,129
44970,Men,White,Winter,2016,Casual,Maxima Men White Dial Analog Chronograph Watch,70
56489,Women,Bronze,Spring,2017,NA,Streetwear Ash Nail Polish # 31,90
39524,Unisex,Orange,Summer,2012,Casual,Peter England Unisex Orange Sleeve Bag,169
33822,Men,White,Summer,2012,Sports,Puma Men Axis White & Grey Sports Shoes,26
58513,Women,Off White,Summer,2012,Casual,Tonga Women Maroon Top,49
25947,Women,Brown,Summer,2012,Casual,Femella Women Brown Scarf,62
52029,Unisex,Coffee Brown,Summer,2012,NA,Just Natural Unisex Charcoal Rain Jacket,35
5865,Men,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt,40
39716,Women,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress,166
25349,Men,Red,Summer,2016,Casual,Levis Men Red Brief,21
11940,Men,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals,157
55802,Women,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,146
29584,Men,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt,40
43967,Women,Red,Spring,2017,Casual,DKNY Women Red Delicious Perfume,38
28456,Women,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings,111
34009,Girls,Black,Summer,2012,Casual,Gini and Jony Girls Black Top,49
19311,Men,White,Fall,2011,Casual,Nike Men Air Rift MTR White Casual Shoe,3
42089,Men,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes,26
22950,Unisex,Black,Winter,2016,Casual,Fastrack Unisex Black Dial Watch 9915PP13,70
49461,Men,Blue,Summer,2012,Casual,Vans Men Blue Era Scilla Plaid Shoes,3
8746,Unisex,Navy Blue,Summer,2015,Casual,Crocs Kids Navy Blue Clogs,81
9694,Men,White,Fall,2011,Casual,Classic Polo Men Vulcan White Polo Tshirts,40
23882,Men,Grey,Fall,2011,Sports,Fila Men Destiny Grey Sports Shoes,26
34835,Men,Blue,Summer,2012,Sports,ADIDAS Men Blue Chill Sports Shoes,26
15984,Men,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt,67
41268,Men,Black,Summer,2012,Casual,Arrow Men Black Wallet,170
11518,Women,Grey,Winter,2015,Casual,Catwalk Women Gun Metal Grey Heels,65
14856,Women,Beige,Summer,2011,Casual,United Colors of Benetton Women Solid Beige Wallets,170
33648,Men,Brown,Summer,2012,Casual,Lotto Men Ridge Brown Sandals,157
59297,Men,White,Fall,2012,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,67
28032,Men,White,Summer,2016,Casual,Jockey ELANCE Men Bikini White Brief 1005,21
27846,Women,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer,72
26994,Women,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans,18
49839,Women,Red,Winter,2012,Casual,iPanema Women Red Flip Flops,81
31923,Women,Blue,Summer,2012,Casual,Fabindia Women Blue Silk Sling Bag,119
2618,Women,Silver,Spring,2010,Casual,Carlton London Women Silver Wedge Sandal,83
54588,Women,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,87
49005,Women,Silver,Summer,2012,Casual,Lucera Women Silver Ring,54
8322,Boys,Blue,Fall,2011,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,40
13841,Unisex,White,Winter,2016,Casual,ADIDAS Unisex Three Small Dials White Watches,70
28200,Men,Copper,Winter,2016,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,113
12993,Unisex,Black,Fall,2011,Sports,ADIDAS Kids Adispeed Black Sports Shoes,26
7158,Men,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt,67
18495,Men,White,Fall,2011,Casual,Puma Men Fashion Cat White Slipper,157
8110,Men,Black,Winter,2016,Casual,Fastrack Men Economy 2 Analg Black Watch,70
19547,Men,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,16
7964,Men,Black,Fall,2011,Sports,Puma Men's Large Logo Graphic Black T-shirt,40
36934,Women,Gold,Spring,2017,Casual,Giorgio Armani Women Idole Perfume,38
39140,Women,Black,Summer,2012,Ethnic,Aneri Women Black & Maroon Salwar Suit,109
20851,Women,Red,Winter,2015,Casual,Spice Art Women Ribbon Embroidery Red Clutch,50
41866,Men,Beige,Fall,2015,Casual,Estd. 1977 Men Beige & Green Sandals,157
58177,Women,Brown,Summer,2012,Casual,Rocky S Women Brown Handbag,119
44528,Men,Black,Summer,2012,Casual,Coolers Men Black Sandals,157
16392,Men,Red,Fall,2011,Casual,Levis Men Check Red Shirts,67
51455,Women,Pink,Summer,2012,Casual,Tonga Women Pink Printed Shrug,45
50587,Men,Grey,Summer,2016,Casual,Chromozome Men Grey Briefs,21
17240,Men,Black,Fall,2011,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,40
47530,Women,Copper,Winter,2012,Casual,Portia Women Copper-Toned & Brown Sandals,83
6617,Men,Black,Summer,2011,Casual,Spykar Men Black and white Check Shirt,67
12732,Unisex,Black,Fall,2011,Sports,Nike Unisex Swoosh Black Backpack,64
3365,Men,Black,Summer,2011,Casual,Myntra Men's Brain Black T-shirt,40
42042,Men,White,Summer,2012,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,26
23849,Men,Black,Fall,2011,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,3
43190,Women,White,Winter,2016,Casual,Fastrack Women White Dial Watch,70
48578,Men,Steel,Summer,2012,Casual,Revv Men Steel Bracelet,152
30462,Women,Black,Summer,2014,Casual,Lovable Women All Day Long Black Bra,128
18208,Men,White,Fall,2011,Casual,Manchester United Men Solid White Cap,93
54127,Women,Black,Winter,2012,Casual,Rocia Women Black Heels,65
10065,Men,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts,40
24250,Men,White,Fall,2012,Casual,Numero Uno Men White Casual Shoes,3
32335,Men,Silver,Winter,2016,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y,70
25382,Men,White,Summer,2016,Casual,Levis Men White Innerwear Vest,13
56670,Men,Black,Winter,2016,Casual,Maxima Men Black Dial Watch,70
5092,Men,Purple,Summer,2011,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,40
10859,Men,Navy Blue,Fall,2011,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,40
59638,Women,Green,Fall,2012,Ethnic,FNF Green Wedding Collection Sari,20
15517,Men,Red,Fall,2011,Casual,Rockport Men LLandro Red Casual Shoes,3
4140,Women,Green,Winter,2015,Casual,Skechers Women Green Shoe,3
36795,Men,Silver,Winter,2016,Casual,Maxima Men Ssteele Silver Dial Watch,70
40527,Men,Gold,Winter,2016,Casual,Titan Men Gold Dial Watch,70
10257,Men,Black,Fall,2011,Formal,John Miller Men Solid Type Black Trousers,86
24062,Men,Navy Blue,Summer,2012,Casual,Locomotive Men Navy Blue Printed T-shirt,40
45869,Men,Brown,Winter,2016,Casual,Maxima Men Brown Dial Watch,70
11385,Women,Black,Fall,2011,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,16
53130,Women,Brown,Winter,2015,Casual,Catwalk Women Brown Sandals,83
44187,Women,White,Spring,2017,Casual,Nike Fragrances Women 5th Element Perfume 150 ml,38
21510,Women,White,Winter,2015,Casual,Kiara Women Graphiti White Handbag,119
51667,Men,Grey,Winter,2016,Casual,Louis Philippe Men Grey Sunglasses,113
22395,Men,Blue,Fall,2011,Casual,Mark Taylor Men Striped Blue Shirt,67
35322,Women,Silver,Winter,2016,Ethnic,Fabindia Women Anusuya Silver Earrings,143
6425,Unisex,Black,Summer,2011,Casual,Lotto Unisex Canvas Black Check Shoe,3
18806,Men,Tan,Summer,2011,Casual,Peter England Men Casual Tan Belt,9
23247,Men,Black,Fall,2011,Formal,Arrow Men Formal Black Shoe,23
17072,Women,Grey,Winter,2015,Casual,Lino Perros Women Weaved  Grey Belt,9
31782,Women,Blue,Summer,2012,Casual,Lee Women Paula Blue Top,49
42270,Unisex,Black,Summer,2012,Casual,Vans Unisex Black & Grey Classic Shoes,3
12500,Men,Black,Fall,2011,Casual,United Colors of Benetton Men Short Black Shirts,67
26735,Men,Black,Spring,2017,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos,154
30650,Men,Black,Summer,2012,Casual,Nike Men Printed Black T-shirt,40
56026,Women,Brown,Spring,2017,Casual,Colorbar Soft Touch Mousse Lipstick 025,98
21948,Women,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag,119
32563,Women,Blue,Summer,2012,Casual,ONLY Women directoire blue Trousers,86
58980,Women,Pink,Spring,2017,Casual,Colour me Women Flowers Deo,154
40143,Girls,Blue,Summer,2012,Casual,Gini and Jony Girls Pretty Blossom Blue Top,49
10633,Men,Brown,Fall,2011,Formal,Carlton London Men Formal Brown Formal Shoes,23
24406,Women,Red,Summer,2012,Ethnic,Vishudh Women Red Printed Kurta,87
4716,Unisex,Black,Winter,2016,Sports,ADIDAS Unisex Response ST Analogue Black Watch,70
21174,Women,Beige,Fall,2011,Casual,s.Oliver Women Stripes Beige Top,49
15341,Women,Pink,Fall,2011,Sports,Nike Women Solid Pink Shorts,47
52486,Women,Maroon,Winter,2015,Casual,Red Rose Maroon Camisole,39
53554,Men,Multi,Summer,2016,Casual,Probase Multicoloured Printed Boxers,122
14293,Men,Blue,Fall,2011,Casual,Classic Polo Men Stripes Blue Tshirts,40
47366,Women,Blue,Summer,2012,Casual,Baggit Women Blue Bag,119
6041,Men,Navy Blue,Summer,2011,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,40
23623,Girls,Pink,Fall,2011,Casual,Doodle Kids Girls Pink I love Shopping Top,49
17416,Men,Black,Fall,2011,Sports,Lotto Men Atlantica Black Sports Shoe,26
9835,Women,Grey,Fall,2011,Casual,Little Miss Women Printed Grey T-shirt,40
29319,Unisex,Red,Summer,2012,Casual,ADIDAS Unisex Chicago Bulls Red Backpack,64
7193,Women,Black,Fall,2011,Casual,Jealous 21 Women Black Jegging,18
12958,Men,Black,Fall,2011,Sports,ADIDAS Men Sports Black Sports Shoes,26
27283,Women,Magenta,Fall,2011,Ethnic,Mother Earth Women Magenta Kurta,87
30234,Men,Black,Summer,2012,Casual,Numero Uno Men Black Flip Flops,81
9009,Women,Brown,Winter,2015,Casual,Murcia Women Snake Print Bag Brown Handbags,119
3533,Men,Navy Blue,Summer,2011,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,40
42614,Women,Gold,Winter,2016,Casual,Estelle Women Earrings & Pendant Set,142
12164,Women,Orange,Fall,2011,Ethnic,Aurelia Women Voile Orange Dupatta,6
26351,Women,White,Winter,2016,Casual,DKNY Women White Dial Watch NY8472,70
17624,Men,Navy Blue,Fall,2011,Sports,ADIDAS Men Solid Navy Blue Track Pant,12
47154,Girls,Black,Summer,2012,Casual,Gini and Jony Girls Black Capris,61
35574,Men,Red,Summer,2013,Casual,Gliders Men Esquire Red Flip Flops,81
46086,Women,Lavender,Summer,2012,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,26
51031,Women,White,Summer,2017,Casual,Enamor White Bra,128
13284,Men,Black,Fall,2011,Casual,Gini and Jony Kids Boys Solid Black Shorts,47
54543,Men,White,Fall,2012,Casual,F Sports Men White Outlander Sports Shoes,26
55491,Women,Brown,Spring,2017,Casual,Revlon Gold Dust Poussiere Doree Colorburst Lip Gloss 024,59
26163,Men,Grey,Summer,2012,Formal,John Miller Men Dark Grey Trousers,86
3701,Women,Black,Summer,2011,Casual,Tantra Women Flower Heart Black Long T-shirt,40
29917,Men,White,Winter,2016,Casual,Police Men White Dial Watch PL12698JS,70
42426,Women,Sea Green,Summer,2012,Ethnic,Aurelia Women Sea Green Kurta,87
32751,Men,Black,Summer,2012,Casual,FILA Men Liga II Black Shoes,3
56214,Women,Gold,Winter,2016,Casual,Estelle Women Gold Earrings,143
10401,Women,Purple,Fall,2011,Casual,Jealous 21 Women Uaine Purple Tops,49
40371,Women,Navy Blue,Summer,2012,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,18
21346,Men,Gold,Winter,2016,Casual,Pal Zileri Men Casual Gold Frame Sunglasses,113
45603,Men,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes,23
4524,Men,Black,Summer,2011,Sports,Puma Men's YugoRun Black White Shoe,26
37223,Women,Blue,Summer,2012,Casual,United Colors of Benetton Women Blue Top,49
53766,Men,White,Summer,2012,Casual,Puma Men White and Navy Blue T-shirt,40
25520,Girls,White,Fall,2011,Casual,Doodle Kids Girls City Chic White Top,49
32597,Women,Black,Summer,2012,Casual,ONLY Women Black Top,49
58974,Men,Gold,Spring,2017,Casual,Colour me Men Gold Deo,154
33445,Women,Black,Summer,2012,Casual,Baggit Women Lamboo Mayur Black Wallet,170
57100,Women,Pink,Summer,2012,Casual,Elle Women Dark Pink Top,49
36137,Women,Pink,Summer,2012,Sports,Nike Women Free Run Pink Sports Shoes,26
41859,Men,Black,Summer,2016,Casual,Estd. 1977 Men Black Sandals,157
21180,Men,Black,Summer,2011,Casual,ADIDAS Men Adi Cells Black Flip Flops,81
39943,Men,Brown,Summer,2013,Casual,GAS Men Brown Count Casual Shoes,3
52472,Women,Pink,Winter,2015,Casual,Red Rose Women White & Pink Polka Dot Print Bath Robe,74
58148,Unisex,White,Fall,2012,Casual,Puma Unisex White Cap,93
20052,Women,Yellow,Fall,2011,Casual,United Colors Of Benetton Women Yellow Muffler,147
5630,Women,Blue,Summer,2011,Casual,ADIDAS Women's Adi Groove Blue Flip Flop,81
44517,Men,Brown,Summer,2013,Casual,Coolers Men Brown Pokar Flip Flops,81
47392,Women,Beige,Fall,2012,Casual,Baggit Women Beige Bag,119
50325,Women,Navy Blue,Summer,2012,Ethnic,Aurelia Women Navy Blue Kurta,87
8913,Men,White,Fall,2011,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,26
16530,Men,Red,Fall,2011,Casual,Locomotive Men Check Red Shirt,67
22705,Men,White,Fall,2011,Casual,Nike Men White Capri II Casual Shoe,3
7167,Men,Purple,Fall,2011,Casual,Scullers Men Scul Purple White Shirt,67
46240,Women,White,Summer,2012,Casual,Fusion Beats Women White Printed Tunic,148
27277,Women,Green,Fall,2011,Ethnic,Mother Earth Women Blue Kurta,87
13042,Women,Brown,Winter,2012,Casual,Inc 5 Women Brown Heels,83
6889,Women,Cream,Summer,2011,Casual,Forever New Women Stone Cream Jacket,145
31312,Women,Peach,Summer,2012,Ethnic,W Women Peach Kurta,87
12190,Men,Blue,Fall,2011,Casual,Basics Men Blue Slim Fit Checked Shirt,67
55657,Women,Gold,Winter,2015,Casual,Catwalk Women Golden Wedges,65
19578,Women,Purple,Summer,2011,Casual,United Colors of Benetton Women Solid Purple Top,49
27879,Women,Blue,Summer,2012,Casual,Scullers For Her Women Blue Top,49
34452,Women,Copper,Winter,2012,Casual,Rocia Women Copper Sandals,83
6287,Men,Yellow,Summer,2011,Casual,Classic Polo Men's Swiss Yellow T-shirt,40
